    1.1605	    0.6736     0.3204
    1.1607	    0.7626     0.3329
    1.1609	    0.8524     0.3215
    1.1610	    0.9424     0.3193
    1.1603	    1.0321     0.3240
    1.2044	    1.7109     0.2974
    1.2062	    1.6207     0.3037
    1.2080	    1.5302     0.3151
    1.2106	    1.4407     0.3243
    1.2138	    1.3500     0.3180
    1.2160	    1.2603     0.3117
    1.2180	    1.1692     0.2992
    1.2192	    1.0789     0.3133
    1.2200	    0.4465     0.3052
    1.2201	    0.5366     0.3131
    1.2199	    0.6284     0.3110
    1.2200	    0.9879     0.3030
    1.2205	    0.7171     0.3326
    1.2209	    0.8074     0.3134
    1.2208	    0.8966     0.3210
    1.2651	    1.6670     0.3348
    1.2645	    1.7564     0.3293
    1.2667	    1.5772     0.3337
    1.2687	    1.4874     0.3235
    1.2712	    1.3976     0.3109
    1.2742	    1.3072     0.3080
    1.2758	    1.2159     0.2956
    1.2779	    1.1255     0.2985
    1.2793	    0.4013     0.3163
    1.2789	    1.0339     0.2926
    1.2794	    0.4914     0.3375
    1.2797	    0.5811     0.3243
    1.2797	    0.6722     0.3247
    1.2801	    0.7613     0.3177
    1.2802	    0.8524     0.3102
    1.2798	    0.9435     0.3034
    1.3250	    1.7119     0.3512
    1.3266	    1.6232     0.3373
    1.3282	    1.5343     0.3309
    1.3299	    1.4448     0.3200
    1.3324	    1.3533     0.3078
    1.3339	    1.2634     0.2988
    1.3357	    1.1728     0.2938
    1.3369	    1.0809     0.2807
    1.3381	    0.9895     0.2818
    1.3392	    0.8078     0.2879
    1.3389	    0.8978     0.2966
    1.3393	    0.4470     0.3480
    1.3397	    0.5365     0.3354
    1.3393	    0.6268     0.3194
    1.3393	    0.7163     0.3058
    1.3860	    1.6690     0.3462
    1.3853	    1.7563     0.3699
    1.3878	    1.5792     0.3507
    1.3891	    1.4899     0.3432
    1.3900	    1.4012     0.3098
    1.3922	    1.3103     0.3092
    1.3937	    1.2190     0.3002
    1.3947	    1.1278     0.2733
    1.3959	    1.0361     0.2794
    1.3971	    0.9437     0.2802
    1.3979	    0.8536     0.2905
    1.3995	    0.5825     0.3263
    1.3990	    0.6713     0.3195
    1.3987	    0.7618     0.2960
    1.3992	    0.4020     0.3474
    1.4000	    0.4931     0.3354
    1.4468	    1.7130     0.3729
    1.4479	    1.6251     0.3533
    1.4486	    1.5366     0.3458
    1.4495	    1.4468     0.3333
    1.4506	    1.3558     0.3150
    1.4516	    1.2651     0.3046
    1.4528	    1.1753     0.2816
    1.4539	    1.0832     0.2737
    1.4551	    0.9915     0.2727
    1.4560	    0.8996     0.2845
    1.4573	    0.8088     0.2792
    1.4579	    0.7170     0.2984
    1.4586	    0.6272     0.3214
    1.4596	    0.5381     0.3309
    1.4603	    0.4463     0.3377
    1.5079	    1.7577     0.3757
    1.5089	    1.5811     0.3393
    1.5087	    1.6698     0.3687
    1.5107	    1.2210     0.2952
    1.5104	    1.3124     0.3183
    1.5095	    1.4027     0.3207
    1.5096	    1.4914     0.3406
    1.5116	    1.1302     0.2741
    1.5127	    1.0381     0.2771
    1.5140	    0.9466     0.2692
    1.5151	    0.8554     0.2791
    1.5165	    0.7626     0.2956
    1.5177	    0.6723     0.3009
    1.5186	    0.5822     0.3188
    1.5199	    0.4918     0.3213
    1.5212	    0.4028     0.3127
    1.5693	    1.2672     0.3169
    1.5710	    1.0858     0.2871
    1.5700	    1.1767     0.2992
    1.5698	    1.3573     0.3333
    1.5697	    1.4472     0.3444
    1.5695	    1.5354     0.3510
    1.5697	    1.6255     0.3560
    1.5698	    1.7142     0.3616
    1.5713	    0.9935     0.2837
    1.5730	    0.9022     0.2825
    1.5741	    0.8110     0.2769
    1.5760	    0.7188     0.3037
    1.5779	    0.6284     0.3111
    1.5787	    0.5382     0.3155
    1.5801	    0.4485     0.3266
    1.6290	    1.0396     0.2801
    1.6293	    1.1323     0.2851
    1.6285	    1.2224     0.3163
    1.6290	    1.3136     0.3350
    1.6305	    0.9483     0.2843
    1.6296	    1.4024     0.3417
    1.6315	    0.8570     0.2825
    1.6303	    1.4898     0.3564
    1.6299	    1.5794     0.3573
    1.6309	    1.6679     0.3583
    1.6312	    1.7564     0.3294
    1.6334	    0.7658     0.2894
    1.6352	    0.6755     0.2929
    1.6366	    0.5840     0.2935
    1.6386	    0.4933     0.3087
    1.6396	    0.4016     0.2986
    1.6886	    0.9955     0.2944
    1.6888	    1.0874     0.2964
    1.6881	    1.1778     0.3041
    1.6883	    1.2675     0.3163
    1.6902	    0.9043     0.2774
    1.6896	    1.3573     0.3610
    1.6918	    0.8136     0.3081
    1.6907	    1.4459     0.3583
    1.6910	    1.5349     0.3441
    1.6912	    1.6239     0.3386
    1.6917	    1.7115     0.3462
    1.6937	    0.7229     0.2925
    1.6955	    0.6327     0.3032
    1.6968	    0.5411     0.2911
    1.6987	    0.4505     0.2836
    1.7465	    1.0414     0.3088
    1.7485	    0.9517     0.3077
    1.7476	    1.1330     0.3212
    1.7479	    1.2226     0.3304
    1.7501	    0.8599     0.3006
    1.7492	    1.3124     0.3657
    1.7514	    0.7699     0.2988
    1.7506	    1.4006     0.3458
