    0.6486	        0.8156		    0.4690
    0.6513	        1.2817		    0.4728
    0.6821	        1.8870		    0.2232
    0.6522	        0.7010		    0.4312
    0.6566	        1.3961		    0.4278
    0.6564	        0.5884		    0.3879
    0.6606	        0.4780		    0.3448
    0.6627	        1.5084		    0.3829
    0.6643	        0.3694		    0.3101
    0.6672	        0.2620		    0.2771
    0.6689	        1.6189		    0.3354
    0.7050	        0.9322		    0.4851
    0.7047	        1.0485		    0.4917
    0.7062	        0.8168		    0.4625
    0.7060	        1.1648		    0.4824
    0.7092	        0.7028		    0.4270
    0.7091	        1.2801		    0.4582
    0.6751	        1.7278		    0.2896
    0.7127	        0.5905		    0.3903
    0.7140	        1.3943		    0.4178
    0.7160	        0.4796		    0.3521
    0.6805	        1.8334		    0.2426
    0.7186	        0.3703		    0.3196
    0.7189	        1.5066		    0.3779
    0.7203	        0.2624		    0.2919
    0.7245	        1.6171		    0.3364
    0.7294	        1.7258		    0.2937
    0.7046	        0.9900		    0.4940
    0.7052	        1.1061		    0.4947
    0.7057	        0.8740		    0.4705
    0.7079	        1.2226		    0.4748
    0.7347	        1.8326		    0.2552
    0.7081	        0.7591		    0.4387
    0.7116	        1.3373		    0.4437
    0.7112	        0.6461		    0.4044
    0.7145	        0.5343		    0.3686
    0.7166	        1.4504		    0.3990
    0.7177	        0.4244		    0.3296
    0.7203	        0.3157		    0.3007
    0.7219	        1.5618		    0.3615
    0.7217	        0.2087		    0.2843
    0.7271	        1.6713		    0.3181
    0.7632	        0.9902		    0.4763
    0.7638	        0.8750		    0.4598
    0.7637	        1.1062		    0.4699
    0.7653	        0.7606		    0.4326
    0.7674	        0.6476		    0.4042
    0.7656	        1.2215		    0.4635
    0.7320	        1.7792		    0.2721
    0.7690	        1.3358		    0.4319
    0.7705	        0.5361		    0.3712
    0.7735	        0.4256		    0.3364
    0.7729	        1.4488		    0.3939
    0.7360	        1.8859		    0.2256
    0.7743	        0.3168		    0.3146
    0.7754	        0.2089		    0.3011
    0.7775	        1.5600		    0.3602
    0.7807	        1.6697		    0.3163
    0.7854	        1.7778		    0.2826
    0.7633	        1.0481		    0.4844
    0.7633	        0.9321		    0.4686
    0.7904	        1.8843		    0.2505
    0.7647	        1.1637		    0.4769
    0.7644	        0.8176		    0.4477
    0.7666	        0.7034		    0.4180
    0.7674	        1.2788		    0.4490
    0.7689	        0.5908		    0.3846
    0.7710	        1.3932		    0.4183
    0.7715	        0.4805		    0.3488
    0.7738	        0.3710		    0.3206
    0.7752	        1.5042		    0.3756
    0.7752	        0.2626		    0.2945
    0.7796	        1.6149		    0.3385
    0.7838	        1.7238		    0.2975
    0.8216	        0.9324		    0.4666
    0.8230	        0.8179		    0.4467
    0.8217	        1.0476		    0.4714
    0.7875	        1.8318		    0.2620
    0.8240	        0.7042		    0.4202
    0.8228	        1.1629		    0.4600
    0.8251	        0.5923		    0.3857
    0.8251	        1.2772		    0.4409
    0.8272	        0.4813		    0.3540
    0.8297	        0.3717		    0.3317
    0.8279	        1.3908		    0.4109
    0.8295	        0.2625		    0.3192
    0.8319	        1.5028		    0.3765
    0.8358	        1.6132		    0.3441
    0.8376	        1.7229		    0.3104
    0.8408	        1.8309		    0.2833
    0.8217	        0.9895		    0.4680
    0.8220	        0.8744		    0.4477
    0.8223	        1.1048		    0.4660
    0.8232	        0.7601		    0.4237
    0.8242	        1.2203		    0.4483
    0.8248	        0.6478		    0.4005
    0.8266	        1.3341		    0.4226
    0.8267	        0.5368		    0.3657
    0.8283	        0.4258		    0.3382
    0.8297	        1.4468		    0.3858
    0.8291	        0.3168		    0.3267
    0.8301	        0.2085		    0.3079
    0.8334	        1.5572		    0.3506
    0.8369	        1.6669		    0.3105
    0.8398	        1.7772		    0.2962
    0.8421	        1.8834		    0.2760
    0.8803	        0.7611		    0.4258
    0.8798	        0.8752		    0.4451
    0.8800	        0.9897		    0.4605
    0.8807	        1.1047		    0.4548
    0.8827	        0.5371		    0.3693
    0.8818	        0.6485		    0.4005
    0.8821	        1.2193		    0.4447
    0.8837	        0.4267		    0.3447
    0.8845	        0.2089		    0.3121
    0.8845	        0.3176		    0.3189
    0.8843	        1.3329		    0.4198
    0.8865	        1.4455		    0.3865
    0.8894	        1.5566		    0.3607
    0.8915	        1.6662		    0.3305
    0.8949	        1.7749		    0.3108
    0.8973	        1.8829		    0.3003
    0.8798	        0.9321		    0.4495
    0.8802	        1.0473		    0.4575
    0.8802	        0.8181		    0.4313
    0.8811	        1.1620		    0.4455
    0.8811	        0.7049		    0.4025
    0.8829	        1.2762		    0.4263
    0.8821	        0.5923		    0.3761
    0.8833	        0.4818		    0.3477
    0.8851	        1.3892		    0.3972
    0.8845	        0.2627		    0.3088
    0.8842	        0.3723		    0.3179
    0.8877	        1.5010		    0.3620
    0.8905	        1.6113		    0.3301
    0.8933	        1.7203		    0.3053
    0.8960	        1.8281		    0.2906
    0.9382	        0.4827		    0.3595
    0.9384	        0.5936		    0.3887
    0.9373	        0.7056		    0.4124
    0.9372	        0.8188		    0.4361
    0.9376	        0.9330		    0.4510
    0.9399	        0.2638		    0.3153
    0.9397	        0.3730		    0.3319
    0.9382	        1.0478		    0.4527
    0.9385	        1.1624		    0.4440
    0.9398	        1.2761		    0.4239
    0.9422	        1.3892		    0.3966
    0.9437	        1.5006		    0.3712
    0.9466	        1.6109		    0.3421
    0.9480	        1.7195		    0.3166
    0.9507	        1.8280		    0.3154
    0.9376	        0.8753		    0.4451
    0.9379	        0.9899		    0.4553
    0.9376	        0.7617		    0.4234
    0.9386	        1.1046		    0.4513
    0.9381	        0.6488		    0.3989
    0.9397	        1.2188		    0.4362
    0.9386	        0.5378		    0.3678
    0.9389	        0.4275		    0.3399
    0.9392	        0.2092		    0.3084
